# x, y, val
3.1000 1.8000 0.1324
3.2000 1.8000 0.1373
3.3000 1.8000 0.1427
3.4000 1.8000 0.1475
3.5000 1.8000 0.1512
3.6000 1.8000 0.1528
3.7000 1.8000 0.1510
3.8000 1.8000 0.1453
3.9000 1.8000 0.1372
4.0000 1.8000 0.1316
4.1000 1.8000 0.1324
4.2000 1.8000 0.1373
4.3000 1.8000 0.1427
4.4000 1.8000 0.1475
4.5000 1.8000 0.1512
4.6000 1.8000 0.1528
4.7000 1.8000 0.1510
4.8000 1.8000 0.1453
4.9000 1.8000 0.1372
0.0000 1.9000 0.1064
0.1000 1.9000 0.1111
0.2000 1.9000 0.1214
0.3000 1.9000 0.1297
0.4000 1.9000 0.1358
0.5000 1.9000 0.1402
0.6000 1.9000 0.1421
0.7000 1.9000 0.1395
0.8000 1.9000 0.1307
0.9000 1.9000 0.1166
1.0000 1.9000 0.1064
1.1000 1.9000 0.1111
1.2000 1.9000 0.1214
1.3000 1.9000 0.1297
1.4000 1.9000 0.1358
1.5000 1.9000 0.1402
1.6000 1.9000 0.1421
1.7000 1.9000 0.1395
1.8000 1.9000 0.1307
1.9000 1.9000 0.1166
2.0000 1.9000 0.1064
2.1000 1.9000 0.1111
2.2000 1.9000 0.1214
2.3000 1.9000 0.1297
2.4000 1.9000 0.1358
2.5000 1.9000 0.1402
2.6000 1.9000 0.1421
2.7000 1.9000 0.1395
2.8000 1.9000 0.1307
2.9000 1.9000 0.1166
3.0000 1.9000 0.1064
3.1000 1.9000 0.1111
3.2000 1.9000 0.1214
3.3000 1.9000 0.1297
3.4000 1.9000 0.1358
3.5000 1.9000 0.1402
3.6000 1.9000 0.1421
3.7000 1.9000 0.1395
3.8000 1.9000 0.1307
3.9000 1.9000 0.1166
4.0000 1.9000 0.1064
4.1000 1.9000 0.1111
4.2000 1.9000 0.1214
4.3000 1.9000 0.1297
4.4000 1.9000 0.1358
4.5000 1.9000 0.1402
4.6000 1.9000 0.1421
4.7000 1.9000 0.1395
4.8000 1.9000 0.1307
4.9000 1.9000 0.1166
0.0000 2.0000 0.0873
0.1000 2.0000 0.0966
0.2000 2.0000 0.1103
0.3000 2.0000 0.1196
0.4000 2.0000 0.1261
0.5000 2.0000 0.1312
0.6000 2.0000 0.1338
0.7000 2.0000 0.1316
0.8000 2.0000 0.1217
0.9000 2.0000 0.1035
1.0000 2.0000 0.0873
1.1000 2.0000 0.0966
1.2000 2.0000 0.1103
1.3000 2.0000 0.1196
1.4000 2.0000 0.1261
1.5000 2.0000 0.1312
1.6000 2.0000 0.1338
1.7000 2.0000 0.1316
1.8000 2.0000 0.1217
1.9000 2.0000 0.1035
2.0000 2.0000 0.0873
2.1000 2.0000 0.0966
2.2000 2.0000 0.1103
2.3000 2.0000 0.1196
2.4000 2.0000 0.1261
2.5000 2.0000 0.1312
2.6000 2.0000 0.1338
2.7000 2.0000 0.1316
2.8000 2.0000 0.1217
2.9000 2.0000 0.1035
3.0000 2.0000 0.0873
3.1000 2.0000 0.0966
3.2000 2.0000 0.1103
3.3000 2.0000 0.1196
3.4000 2.0000 0.1261
3.5000 2.0000 0.1312
3.6000 2.0000 0.1338
3.7000 2.0000 0.1316
3.8000 2.0000 0.1217
3.9000 2.0000 0.1035
4.0000 2.0000 0.0873
4.1000 2.0000 0.0966
4.2000 2.0000 0.1103
4.3000 2.0000 0.1196
4.4000 2.0000 0.1261
4.5000 2.0000 0.1312
4.6000 2.0000 0.1338
4.7000 2.0000 0.1316
4.8000 2.0000 0.1217
4.9000 2.0000 0.1035
0.0000 2.1000 0.1008
0.1000 2.1000 0.1035
0.2000 2.1000 0.1112
0.3000 2.1000 0.1175
0.4000 2.1000 0.1230
0.5000 2.1000 0.1282
0.6000 2.1000 0.1319
0.7000 2.1000 0.1315
0.8000 2.1000 0.1246
0.9000 2.1000 0.1115
1.0000 2.1000 0.1008
1.1000 2.1000 0.1035
1.2000 2.1000 0.1112
1.3000 2.1000 0.1175
1.4000 2.1000 0.1230
1.5000 2.1000 0.1282
1.6000 2.1000 0.1319
1.7000 2.1000 0.1315
1.8000 2.1000 0.1246
1.9000 2.1000 0.1115
2.0000 2.1000 0.1008
2.1000 2.1000 0.1035
2.2000 2.1000 0.1112
2.3000 2.1000 0.1175
2.4000 2.1000 0.1230
2.5000 2.1000 0.1282
2.6000 2.1000 0.1319
2.7000 2.1000 0.1315
2.8000 2.1000 0.1246
2.9000 2.1000 0.1115
3.0000 2.1000 0.1008
3.1000 2.1000 0.1035
3.2000 2.1000 0.1112
3.3000 2.1000 0.1175
3.4000 2.1000 0.1230
3.5000 2.1000 0.1282
3.6000 2.1000 0.1319
3.7000 2.1000 0.1315
3.8000 2.1000 0.1246
3.9000 2.1000 0.1115
4.0000 2.1000 0.1008
4.1000 2.1000 0.1035
4.2000 2.1000 0.1112
4.3000 2.1000 0.1175
4.4000 2.1000 0.1230
4.5000 2.1000 0.1282
4.6000 2.1000 0.1319
4.7000 2.1000 0.1315
4.8000 2.1000 0.1246
4.9000 2.1000 0.1115
0.0000 2.2000 0.1231
0.1000 2.2000 0.1211
0.2000 2.2000 0.1221
0.3000 2.2000 0.1244
0.4000 2.2000 0.1280
0.5000 2.2000 0.1328
0.6000 2.2000 0.1372
0.7000 2.2000 0.1388
0.8000 2.2000 0.1359
0.9000 2.2000 0.1293
1.0000 2.2000 0.1231
1.1000 2.2000 0.1211
1.2000 2.2000 0.1221
1.3000 2.2000 0.1244
1.4000 2.2000 0.1280
1.5000 2.2000 0.1328
1.6000 2.2000 0.1372
1.7000 2.2000 0.1388
1.8000 2.2000 0.1359
1.9000 2.2000 0.1293
2.0000 2.2000 0.1231
2.1000 2.2000 0.1211
2.2000 2.2000 0.1221
2.3000 2.2000 0.1244
2.4000 2.2000 0.1280
2.5000 2.2000 0.1328
2.6000 2.2000 0.1372
2.7000 2.2000 0.1388
2.8000 2.2000 0.1359
2.9000 2.2000 0.1293
3.0000 2.2000 0.1231
3.1000 2.2000 0.1211
3.2000 2.2000 0.1221
3.3000 2.2000 0.1244
3.4000 2.2000 0.1280
3.5000 2.2000 0.1328
3.6000 2.2000 0.1372
3.7000 2.2000 0.1388
3.8000 2.2000 0.1359
3.9000 2.2000 0.1293
4.0000 2.2000 0.1231
4.1000 2.2000 0.1211
4.2000 2.2000 0.1221
4.3000 2.2000 0.1244
4.4000 2.2000 0.1280
4.5000 2.2000 0.1328
4.6000 2.2000 0.1372
4.7000 2.2000 0.1388
4.8000 2.2000 0.1359
4.9000 2.2000 0.1293
0.0000 2.3000 0.1415
0.1000 2.3000 0.1380
0.2000 2.3000 0.1362
0.3000 2.3000 0.1362
0.4000 2.3000 0.1385
0.5000 2.3000 0.1426
0.6000 2.3000 0.1470
0.7000 2.3000 0.1496
0.8000 2.3000 0.1491
0.9000 2.3000 0.1458
1.0000 2.3000 0.1415
1.1000 2.3000 0.1380
1.2000 2.3000 0.1362
1.3000 2.3000 0.1362
1.4000 2.3000 0.1385
1.5000 2.3000 0.1426
1.6000 2.3000 0.1470
1.7000 2.3000 0.1496
1.8000 2.3000 0.1491
1.9000 2.3000 0.1458
2.0000 2.3000 0.1415
2.1000 2.3000 0.1380
2.2000 2.3000 0.1362
2.3000 2.3000 0.1362
2.4000 2.3000 0.1385
2.5000 2.3000 0.1426
2.6000 2.3000 0.1470
2.7000 2.3000 0.1496
2.8000 2.3000 0.1491
2.9000 2.3000 0.1458
3.0000 2.3000 0.1415
3.1000 2.3000 0.1380
3.2000 2.3000 0.1362
3.3000 2.3000 0.1362
3.4000 2.3000 0.1385
3.5000 2.3000 0.1426
3.6000 2.3000 0.1470
3.7000 2.3000 0.1496
3.8000 2.3000 0.1491
3.9000 2.3000 0.1458
4.0000 2.3000 0.1415
4.1000 2.3000 0.1380
4.2000 2.3000 0.1362
4.3000 2.3000 0.1362
4.4000 2.3000 0.1385
4.5000 2.3000 0.1426
4.6000 2.3000 0.1470
4.7000 2.3000 0.1496
4.8000 2.3000 0.1491
4.9000 2.3000 0.1458
0.0000 2.4000 0.1541
0.1000 2.4000 0.1508
0.2000 2.4000 0.1485
0.3000 2.4000 0.1481
0.4000 2.4000 0.1499
0.5000 2.4000 0.1534
0.6000 2.4000 0.1572
0.7000 2.4000 0.1596
0.8000 2.4000 0.1597
0.9000 2.4000 0.1576
1.0000 2.4000 0.1541
1.1000 2.4000 0.1508
1.2000 2.4000 0.1485
1.3000 2.4000 0.1481
1.4000 2.4000 0.1499
1.5000 2.4000 0.1534
1.6000 2.4000 0.1572
1.7000 2.4000 0.1596
1.8000 2.4000 0.1597
1.9000 2.4000 0.1576
2.0000 2.4000 0.1541
2.1000 2.4000 0.1508
2.2000 2.4000 0.1485
2.3000 2.4000 0.1481
2.4000 2.4000 0.1499
2.5000 2.4000 0.1534
2.6000 2.4000 0.1572
2.7000 2.4000 0.1596
2.8000 2.4000 0.1597
2.9000 2.4000 0.1576
3.0000 2.4000 0.1541
3.1000 2.4000 0.1508
3.2000 2.4000 0.1485
3.3000 2.4000 0.1481
3.4000 2.4000 0.1499
3.5000 2.4000 0.1534
3.6000 2.4000 0.1572
3.7000 2.4000 0.1596
3.8000 2.4000 0.1597
3.9000 2.4000 0.1576
4.0000 2.4000 0.1541
4.1000 2.4000 0.1508
4.2000 2.4000 0.1485
4.3000 2.4000 0.1481
4.4000 2.4000 0.1499
4.5000 2.4000 0.1534
4.6000 2.4000 0.1572
4.7000 2.4000 0.1596
4.8000 2.4000 0.1597
4.9000 2.4000 0.1576
0.0000 2.5000 0.1603
0.1000 2.5000 0.1576
0.2000 2.5000 0.1560
0.3000 2.5000 0.1561
0.4000 2.5000 0.1581
0.5000 2.5000 0.1611
0.6000 2.5000 0.1641
0.7000 2.5000 0.1658
0.8000 2.5000 0.1655
0.9000 2.5000 0.1634
1.0000 2.5000 0.1603
1.1000 2.5000 0.1576
1.2000 2.5000 0.1560
1.3000 2.5000 0.1561
1.4000 2.5000 0.1581
1.5000 2.5000 0.1611
1.6000 2.5000 0.1641
1.7000 2.5000 0.1658
1.8000 2.5000 0.1655
1.9000 2.5000 0.1634
2.0000 2.5000 0.1603
2.1000 2.5000 0.1576
2.2000 2.5000 0.1560
2.3000 2.5000 0.1561
2.4000 2.5000 0.1581
2.5000 2.5000 0.1611
2.6000 2.5000 0.1641
2.7000 2.5000 0.1658
2.8000 2.5000 0.1655
2.9000 2.5000 0.1634
3.0000 2.5000 0.1603
3.1000 2.5000 0.1576
3.2000 2.5000 0.1560
3.3000 2.5000 0.1561
3.4000 2.5000 0.1581
3.5000 2.5000 0.1611
3.6000 2.5000 0.1641
3.7000 2.5000 0.1658
3.8000 2.5000 0.1655
3.9000 2.5000 0.1634
4.0000 2.5000 0.1603
4.1000 2.5000 0.1576
4.2000 2.5000 0.1560
4.3000 2.5000 0.1561
4.4000 2.5000 0.1581
4.5000 2.5000 0.1611
4.6000 2.5000 0.1641
4.7000 2.5000 0.1658
4.8000 2.5000 0.1655
4.9000 2.5000 0.1634
0.0000 2.6000 0.1591
0.1000 2.6000 0.1571
0.2000 2.6000 0.1568
0.3000 2.6000 0.1581
0.4000 2.6000 0.1606
0.5000 2.6000 0.1635
0.6000 2.6000 0.1658
0.7000 2.6000 0.1664
0.8000 2.6000 0.1650
0.9000 2.6000 0.1621
1.0000 2.6000 0.1591
1.1000 2.6000 0.1571
1.2000 2.6000 0.1568
1.3000 2.6000 0.1581
1.4000 2.6000 0.1606
1.5000 2.6000 0.1635
1.6000 2.6000 0.1658
1.7000 2.6000 0.1664
1.8000 2.6000 0.1650
1.9000 2.6000 0.1621
2.0000 2.6000 0.1591
2.1000 2.6000 0.1571
2.2000 2.6000 0.1568
2.3000 2.6000 0.1581
2.4000 2.6000 0.1606
2.5000 2.6000 0.1635
2.6000 2.6000 0.1658
2.7000 2.6000 0.1664
2.8000 2.6000 0.1650
2.9000 2.6000 0.1621
3.0000 2.6000 0.1591
3.1000 2.6000 0.1571
3.2000 2.6000 0.1568
3.3000 2.6000 0.1581
3.4000 2.6000 0.1606
3.5000 2.6000 0.1635
3.6000 2.6000 0.1658
3.7000 2.6000 0.1664
3.8000 2.6000 0.1650
3.9000 2.6000 0.1621
4.0000 2.6000 0.1591
4.1000 2.6000 0.1571
4.2000 2.6000 0.1568
4.3000 2.6000 0.1581
4.4000 2.6000 0.1606
4.5000 2.6000 0.1635
4.6000 2.6000 0.1658
4.7000 2.6000 0.1664
4.8000 2.6000 0.1650
4.9000 2.6000 0.1621
0.0000 2.7000 0.1496
0.1000 2.7000 0.1487
0.2000 2.7000 0.1503
0.3000 2.7000 0.1533
0.4000 2.7000 0.1567
0.5000 2.7000 0.1598
0.6000 2.7000 0.1616
0.7000 2.7000 0.1611
0.8000 2.7000 0.1580
0.9000 2.7000 0.1533
1.0000 2.7000 0.1496
1.1000 2.7000 0.1487
1.2000 2.7000 0.1503
1.3000 2.7000 0.1533
1.4000 2.7000 0.1567
1.5000 2.7000 0.1598
1.6000 2.7000 0.1616
1.7000 2.7000 0.1611
1.8000 2.7000 0.1580
1.9000 2.7000 0.1533
2.0000 2.7000 0.1496
2.1000 2.7000 0.1487
2.2000 2.7000 0.1503
2.3000 2.7000 0.1533
2.4000 2.7000 0.1567
2.5000 2.7000 0.1598
2.6000 2.7000 0.1616
2.7000 2.7000 0.1611
2.8000 2.7000 0.1580
2.9000 2.7000 0.1533
3.0000 2.7000 0.1496
3.1000 2.7000 0.1487
3.2000 2.7000 0.1503
3.3000 2.7000 0.1533
3.4000 2.7000 0.1567
3.5000 2.7000 0.1598
3.6000 2.7000 0.1616
3.7000 2.7000 0.1611
3.8000 2.7000 0.1580
3.9000 2.7000 0.1533
4.0000 2.7000 0.1496
4.1000 2.7000 0.1487
4.2000 2.7000 0.1503
4.3000 2.7000 0.1533
4.4000 2.7000 0.1567
4.5000 2.7000 0.1598
4.6000 2.7000 0.1616
4.7000 2.7000 0.1611
4.8000 2.7000 0.1580
4.9000 2.7000 0.1533
0.0000 2.8000 0.1316
0.1000 2.8000 0.1324
0.2000 2.8000 0.1373
0.3000 2.8000 0.1427
0.4000 2.8000 0.1475
0.5000 2.8000 0.1512
0.6000 2.8000 0.1528
0.7000 2.8000 0.1510
0.8000 2.8000 0.1453
0.9000 2.8000 0.1372
1.0000 2.8000 0.1316
1.1000 2.8000 0.1324
1.2000 2.8000 0.1373
1.3000 2.8000 0.1427
1.4000 2.8000 0.1475
1.5000 2.8000 0.1512
1.6000 2.8000 0.1528
1.7000 2.8000 0.1510
1.8000 2.8000 0.1453
1.9000 2.8000 0.1372
2.0000 2.8000 0.1316
2.1000 2.8000 0.1324
2.2000 2.8000 0.1373
2.3000 2.8000 0.1427
2.4000 2.8000 0.1475
2.5000 2.8000 0.1512
2.6000 2.8000 0.1528
2.7000 2.8000 0.1510
2.8000 2.8000 0.1453
2.9000 2.8000 0.1372
3.0000 2.8000 0.1316
3.1000 2.8000 0.1324
3.2000 2.8000 0.1373
3.3000 2.8000 0.1427
3.4000 2.8000 0.1475
3.5000 2.8000 0.1512
3.6000 2.8000 0.1528
3.7000 2.8000 0.1510
3.8000 2.8000 0.1453
3.9000 2.8000 0.1372
4.0000 2.8000 0.1316
4.1000 2.8000 0.1324
4.2000 2.8000 0.1373
4.3000 2.8000 0.1427
4.4000 2.8000 0.1475
4.5000 2.8000 0.1512
4.6000 2.8000 0.1528
4.7000 2.8000 0.1510
4.8000 2.8000 0.1453
4.9000 2.8000 0.1372
0.0000 2.9000 0.1064
0.1000 2.9000 0.1111
0.2000 2.9000 0.1214
0.3000 2.9000 0.1297
0.4000 2.9000 0.1358
0.5000 2.9000 0.1402
0.6000 2.9000 0.1421
0.7000 2.9000 0.1395
0.8000 2.9000 0.1307
0.9000 2.9000 0.1166
1.0000 2.9000 0.1064
1.1000 2.9000 0.1111
1.2000 2.9000 0.1214
1.3000 2.9000 0.1297
1.4000 2.9000 0.1358
1.5000 2.9000 0.1402
1.6000 2.9000 0.1421
1.7000 2.9000 0.1395
1.8000 2.9000 0.1307
1.9000 2.9000 0.1166
2.0000 2.9000 0.1064
2.1000 2.9000 0.1111
2.2000 2.9000 0.1214
2.3000 2.9000 0.1297
2.4000 2.9000 0.1358
2.5000 2.9000 0.1402
2.6000 2.9000 0.1421
2.7000 2.9000 0.1395
2.8000 2.9000 0.1307
2.9000 2.9000 0.1166
3.0000 2.9000 0.1064
3.1000 2.9000 0.1111
3.2000 2.9000 0.1214
3.3000 2.9000 0.1297
3.4000 2.9000 0.1358
3.5000 2.9000 0.1402
3.6000 2.9000 0.1421
3.7000 2.9000 0.1395
3.8000 2.9000 0.1307
3.9000 2.9000 0.1166
4.0000 2.9000 0.1064
4.1000 2.9000 0.1111
4.2000 2.9000 0.1214
4.3000 2.9000 0.1297
4.4000 2.9000 0.1358
4.5000 2.9000 0.1402
4.6000 2.9000 0.1421
4.7000 2.9000 0.1395
4.8000 2.9000 0.1307
4.9000 2.9000 0.1166
